timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
1579091097,-0.701094,-0.701094,-0.726761,0.193088,0.207009,1,1
1579491019,1.85565,1.85565,1.92364,0.192687,0.20658,1,1
1579591018,1.44872,1.44872,1.5017,0.192267,0.206128,1,1
1579991018,0.850656,0.850656,0.881784,0.191952,0.205786,1,1
1580291017,1.12222,1.12222,1.16343,0.191853,0.205681,1,1
1580391033,0.919591,0.919591,0.953285,0.191824,0.205653,1,1
1580491017,1.07412,1.07412,1.11339,0.192388,0.206262,1,1
1580891066,-1.30696,-1.30696,-1.3548,0.192932,0.206843,1,1
1581291465,-0.593253,-0.593253,-0.614982,0.193814,0.20779,1,1
1581391609,0.933272,0.933272,0.967594,0.19306,0.20698,1,1
1581791138,0.910922,0.910922,0.944256,0.194073,0.208064,1,1
1581891177,0.659446,0.659446,0.68358,0.194238,0.208246,1,1
1582191019,1.47337,1.47337,1.52728,0.193618,0.207581,1,1
1582691040,0.465055,0.465055,0.48214,0.194938,0.208998,1,1
1582791052,-0.412071,-0.412071,-0.427228,0.195467,0.209567,1,1
1583091018,0.476355,0.476355,0.49378,0.195053,0.209121,1,1
1583591017,1.39623,1.39623,1.44733,0.194994,0.209058,1,1
1583791017,0.776083,0.776083,0.804482,0.194335,0.208352,1,1
1584091019,0.96198,0.96198,0.997221,0.194429,0.208454,1,1
1584591025,1.67594,1.67594,1.73756,0.192187,0.206054,1,1
1584691018,1.33093,1.33093,1.37965,0.191937,0.205786,1,1
1585091016,0.726639,0.726639,0.753332,0.191459,0.205271,1,1
1585491043,0.840825,0.840825,0.871641,0.190168,0.203893,1,1
1585591025,1.00154,1.00154,1.0382,0.19034,0.204077,1,1
1585991095,1.02411,1.02411,1.0616,0.19058,0.204334,1,1
1586391019,0.791467,0.791467,0.820575,0.190688,0.204455,1,1
1586891046,1.65079,1.65079,1.71148,0.189813,0.203516,1,1
1587291018,-0.191562,-0.191562,-0.198605,0.188352,0.201952,1,1
1587791052,0.900179,0.900179,0.9331,0.18811,0.201692,1,1
1587891078,0.964295,0.964295,0.999802,0.188086,0.20167,1,1
1588291331,-0.66595,-0.66595,-0.690442,0.18859,0.202212,1,1
1588691069,1.16308,1.16308,1.20566,0.189353,0.203033,1,1
1588791018,1.04966,1.04966,1.08806,0.189217,0.202889,1,1
1589191076,1.68581,1.68581,1.74745,0.190457,0.204215,1,1
1589591018,1.10649,1.10649,1.14718,0.19285,0.206786,1,1
1590091020,0.622674,0.622674,0.645474,0.194064,0.208086,1,1
1590191016,0.343235,0.343235,0.355858,0.194088,0.208115,1,1
1590491019,1.35675,1.35675,1.4064,0.194154,0.208184,1,1
1590991085,0.628032,0.628032,0.651027,0.194233,0.208275,1,1
1591091021,0.0571272,0.0571272,0.0592186,0.194138,0.208173,1,1
1591491016,-1.25758,-1.25758,-1.30359,0.193554,0.207547,1,1
1591991016,0.289254,0.289254,0.299829,0.191497,0.205343,1,1
1592391018,-0.80854,-0.80854,-0.838102,0.189884,0.203613,1,1
1592891088,0.295496,0.295496,0.306351,0.185622,0.19905,1,1
1592991018,0.67289,0.67289,0.697516,0.184987,0.198368,1,1
1593391018,0.611715,0.611715,0.634105,0.182134,0.195312,1,1
1593491020,0.440884,0.440884,0.457038,0.181932,0.195096,1,1
1593891018,1.43047,1.43047,1.48281,0.179608,0.192602,1,1
1594291153,-0.415682,-0.415682,-0.430972,0.17748,0.190325,1,1
1594791286,0.242498,0.242498,0.251374,0.177176,0.190001,1,1
1595191088,1.53472,1.53472,1.59091,0.177575,0.19043,1,1
1595691018,-0.465898,-0.465898,-0.483032,0.178633,0.191568,1,1
1595791018,-0.536307,-0.536307,-0.555935,0.17902,0.191982,1,1
1596191036,1.03461,1.03461,1.0727,0.178805,0.191754,1,1
1596591040,1.18383,1.18383,1.22734,0.179526,0.192527,1,1
1596691045,1.29394,1.29394,1.34129,0.179055,0.192027,1,1
1597091131,0.945076,0.945076,0.9798,0.179799,0.192825,1,1
1597191019,0.641678,0.641678,0.665156,0.18062,0.193702,1,1
1597591110,1.35991,1.35991,1.40974,0.181001,0.194116,1,1
1597991017,1.31476,1.31476,1.36307,0.180203,0.193256,1,1
1598091018,1.30309,1.30309,1.35096,0.179953,0.192993,1,1
1598491017,2.25335,2.25335,2.33583,0.176707,0.189512,1,1
1598891020,3.01072,3.01072,3.12083,0.175926,0.188678,1,1
1599391017,4.45669,4.45669,4.62062,0.176818,0.18964,1,1
1599491086,4.62224,4.62224,4.79235,0.177656,0.190538,1,1
1599791016,5.39153,5.39153,5.58899,0.181237,0.194381,1,1
1600391016,6.6697,6.6697,6.91515,0.185246,0.198687,1,1
1600791032,7.3524,7.3524,7.62311,0.190251,0.204055,1,1
1601291063,7.49996,7.49996,7.7743,0.197315,0.211633,1,1
1601391028,7.57915,7.57915,7.85714,0.197844,0.212203,1,1
1601691058,7.50913,7.50913,7.78511,0.201602,0.216235,1,1
1602191020,7.69011,7.69011,7.97361,0.205734,0.22067,1,1
1602291088,7.80098,7.80098,8.08644,0.205671,0.220603,1,1
1602691018,7.6285,7.6285,7.908,0.208985,0.22416,1,1
1603091167,7.536,7.536,7.81211,0.212317,0.227737,1,1
1603591017,7.75354,7.75354,8.03894,0.214777,0.230376,1,1
1603691074,7.71755,7.71755,8.00022,0.215225,0.230859,1,1
1603991066,7.66269,7.66269,7.94496,0.215545,0.231203,1,1
1604491044,7.84274,7.84274,8.13001,0.217905,0.233732,1,1
1604991020,7.66864,7.66864,7.95,0.219095,0.235016,1,1
1605091017,7.66963,7.66963,7.95096,0.217744,0.233566,1,1
1605491017,7.71357,7.71357,7.99594,0.217766,0.233591,1,1
1605891223,7.7459,7.7459,8.0314,0.216699,0.232452,1,1
1606391019,7.84298,7.84298,8.13048,0.217126,0.232911,1,1
1606491032,7.86757,7.86757,8.15733,0.217308,0.233108,1,1
1606791018,7.72425,7.72425,8.00734,0.217109,0.232892,1,1
1607291019,7.7199,7.7199,8.0027,0.215394,0.231053,1,1
1607791083,7.76225,7.76225,8.04804,0.211669,0.227062,1,1
1608191623,7.70978,7.70978,7.99361,0.209457,0.224687,1,1
1608691029,7.64496,7.64496,7.92516,0.206614,0.221642,1,1
1608791012,7.70916,7.70916,7.99289,0.206019,0.221006,1,1
1609091035,7.94772,7.94772,8.24054,0.204268,0.219131,1,1
1609591019,7.66578,7.66578,7.94682,0.205123,0.220052,1,1
1609691017,7.61871,7.61871,7.89905,0.206307,0.22132,1,1
1610091022,7.73326,7.73326,8.0178,0.205217,0.22015,1,1
1610191020,7.63665,7.63665,7.917,0.204764,0.219667,1,1
1610491016,7.67193,7.67193,7.95331,0.210337,0.225645,1,1
1610991144,7.66894,7.66894,7.95019,0.205748,0.220724,1,1
1611091047,7.7054,7.7054,7.98813,0.206679,0.221726,1,1
1611391018,7.59696,7.59696,7.87683,0.204104,0.21896,1,1
1611891016,7.85839,7.85839,8.14656,0.201003,0.215637,1,1
1611991019,7.95824,7.95824,8.2512,0.198454,0.212902,1,1
1612291016,7.84366,7.84366,8.13263,0.196138,0.210419,1,1
1612791087,7.90178,7.90178,8.19281,0.189095,0.202862,1,1
1612891017,7.83485,7.83485,8.1218,0.188456,0.202177,1,1
1613291035,7.8725,7.8725,8.1608,0.184515,0.197947,1,1
1613691018,7.874,7.874,8.16392,0.178197,0.191171,1,1
1614191026,7.82265,7.82265,8.10938,0.170692,0.18312,1,1
1614291020,7.78541,7.78541,8.07084,0.169224,0.181546,1,1
1614591061,7.79709,7.79709,8.08281,0.162305,0.174121,1,1
1615091292,7.81946,7.81946,8.10728,0.155927,0.167282,1,1
1615191286,7.84552,7.84552,8.1331,0.15382,0.165024,1,1
1615591071,7.84578,7.84578,8.13515,0.146879,0.157578,1,1
1615691022,7.82551,7.82551,8.1122,0.147612,0.158365,1,1
1616091046,8.05433,8.05433,8.34961,0.144461,0.154983,1,1
1616191018,8.09922,8.09922,8.39617,0.142408,0.15278,1,1
1616491019,7.86859,7.86859,8.15704,0.140654,0.150897,1,1
1616991050,7.72476,7.72476,8.0091,0.133089,0.142783,1,1
1617091017,7.66215,7.66215,7.94452,0.13049,0.139994,1,1
1617391040,7.75178,7.75178,8.03745,0.127833,0.137145,1,1
1617891018,7.662,7.662,7.94319,0.124324,0.133382,1,1
1617991024,7.69294,7.69294,7.97639,0.12521,0.134331,1,1
1618391020,7.85536,7.85536,8.14471,0.124954,0.134057,1,1
1618791024,7.78771,7.78771,8.07325,0.123516,0.132515,1,1
1619291016,7.75203,7.75203,8.03795,0.120013,0.128758,1,1
1619391114,7.83211,7.83211,8.11922,0.119619,0.128335,1,1
1619691022,7.88269,7.88269,8.17144,0.12019,0.128947,1,1
1619791016,7.78951,7.78951,8.07524,0.118045,0.126647,1,1
1620191016,7.74921,7.74921,8.03332,0.116683,0.125184,1,1
1620291020,7.76582,7.76582,8.05032,0.116088,0.124549,1,1
1620691016,7.68492,7.68492,7.96671,0.114011,0.122321,1,1
1620791016,7.63332,7.63332,7.91338,0.113735,0.122024,1,1
1622091174,7.63795,7.63795,7.91797,0.104985,0.112633,1,1
1622191033,7.64894,7.64894,7.92946,0.104636,0.112262,1,1
1622591020,7.74081,7.74081,8.02467,0.101103,0.108471,1,1
1622991019,7.88116,7.88116,8.17012,0.0958064,0.102788,1,1
1623091018,7.88209,7.88209,8.17247,0.0926904,0.0994439,1,1
1623491018,7.93445,7.93445,8.22571,0.0895502,0.0960745,1,1
1623991016,7.83845,7.83845,8.12585,0.0820052,0.0879811,1,1
1624391016,7.76123,7.76123,8.04742,0.0802362,0.0860836,1,1
1624491050,7.82231,7.82231,8.1088,0.0766628,0.0822497,1,1
1624791051,7.71857,7.71857,8.00263,0.0733309,0.0786748,1,1
1624891022,7.71514,7.71514,7.99803,0.0716071,0.0768253,1,1
1625291018,7.75417,7.75417,8.0385,0.071853,0.0770894,1,1
1625791016,7.97087,7.97087,8.26405,0.0679716,0.0729238,1,1
1626191066,8.02122,8.02122,8.31532,0.0638311,0.0684815,1,1
1626691021,7.91778,7.91778,8.20849,0.0615719,0.0660578,1,1
1627191018,7.85637,7.85637,8.14549,0.0590952,0.0634014,1,1
1627291021,7.8103,7.8103,8.09661,0.0590175,0.0633181,1,1
1627591037,7.86055,7.86055,8.14881,0.0568465,0.0609883,1,1
1628091070,7.76154,7.76154,8.04617,0.0562513,0.0603494,1,1
1628191564,7.74058,7.74058,8.0242,0.0546412,0.0586218,1,1
1628491330,7.86307,7.86307,8.15145,0.0543943,0.0583578,1,1
1628991019,7.63714,7.63714,7.91738,0.0515778,0.0553357,1,1
1629091111,7.66041,7.66041,7.94152,0.0521496,0.0559486,1,1
1629491123,7.78079,7.78079,8.06577,0.0517366,0.0555056,1,1
1629891017,7.79936,7.79936,8.08531,0.0536528,0.0575616,1,1
1630391016,7.77488,7.77488,8.05999,0.0508281,0.0545306,1,1
1630491017,7.8172,7.8172,8.10415,0.051104,0.0548277,1,1
1630791021,7.77982,7.77982,8.06524,0.0520457,0.0558377,1,1
1631291026,7.88266,7.88266,8.17142,0.0555475,0.0595952,1,1
1631391020,8.00316,8.00316,8.29634,0.0559941,0.0600742,1,1
1631691051,7.94928,7.94928,8.24087,0.0583136,0.0625627,1,1
1632191018,7.8525,7.8525,8.1404,0.0594922,0.0638268,1,1
1632291022,7.79215,7.79215,8.07791,0.0608026,0.0652321,1,1
1632691016,7.936,7.936,8.22702,0.0639462,0.0686041,1,1
1633091028,8.03397,8.03397,8.32875,0.0642517,0.0689334,1,1
1633591066,7.7684,7.7684,8.0535,0.0648493,0.0695736,1,1
1633691031,7.77536,7.77536,8.06046,0.0650838,0.0698253,1,1
1634091016,7.75201,7.75201,8.03602,0.0684528,0.0734394,1,1
1634491018,7.86395,7.86395,8.15232,0.0673461,0.0722505,1,1
1634591085,7.89503,7.89503,8.18452,0.067179,0.0720714,1,1
1634991697,7.87091,7.87091,8.15931,0.0667353,0.071596,1,1
1635091319,7.77081,7.77081,8.05552,0.0642906,0.0689728,1,1
1635391166,7.7427,7.7427,8.02649,0.0610135,0.0654568,1,1
1635891018,7.83675,7.83675,8.12382,0.0609465,0.0653852,1,1
1635991039,7.80776,7.80776,8.09416,0.0609127,0.0653476,1,1
1636291192,7.78746,7.78746,8.07289,0.0611342,0.0655875,1,1
1636491019,7.92561,7.92561,8.21642,0.0590704,0.0633719,1,1
1636791019,7.94743,7.94743,8.2391,0.0642846,0.0689675,1,1
1637291028,7.83481,7.83481,8.12245,0.0695996,0.0746698,1,1
1637391020,7.71296,7.71296,7.99621,0.0693943,0.0744495,1,1
1637691067,7.90767,7.90767,8.19799,0.0758318,0.0813571,1,1
1638191018,7.69523,7.69523,7.97806,0.0782608,0.0839635,1,1
1638291018,7.65995,7.65995,7.94141,0.0936576,0.100485,1,1
1638691084,7.92365,7.92365,8.21521,0.107496,0.115331,1,1
1638791016,8.06732,8.06732,8.36405,0.111709,0.119851,1,1
1639091032,7.93352,7.93352,8.2253,0.129678,0.139132,1,1
1639591057,7.96587,7.96587,8.25888,0.162178,0.174004,1,1
1639991020,8.03977,8.03977,8.33573,0.172538,0.185118,1,1
1640491018,7.92909,7.92909,8.22097,0.218502,0.234436,1,1
1640591016,7.91508,7.91508,8.20625,0.222245,0.238454,1,1
1640991051,8.15903,8.15903,8.4594,0.278906,0.299246,1,1
1641391077,7.91006,7.91006,8.20144,0.311067,0.333755,1,1
1641891421,7.95695,7.95695,8.25004,0.372808,0.399989,1,1
1641991396,7.98084,7.98084,8.27449,0.38684,0.415047,1,1
1642291067,7.90682,7.90682,8.19779,0.437983,0.469911,1,1
1642791019,7.8623,7.8623,8.152,0.512341,0.549712,1,1
1642891106,7.84807,7.84807,8.13703,0.528421,0.566954,1,1
1643291017,7.74628,7.74628,8.03174,0.59032,0.633362,1,1
1643391022,7.84802,7.84802,8.13688,0.606325,0.650522,1,1
1643691021,8.05987,8.05987,8.35677,0.654411,0.702117,1,1
1644191018,8.09882,8.09882,8.39684,0.753,0.807897,1,1
1644291019,8.17959,8.17959,8.48048,0.76904,0.825092,1,1
1644591123,8.00054,8.00054,8.29513,0.826359,0.886577,1,1
1645091017,7.78678,7.78678,8.0734,0.940414,1.00894,1,1
1645191046,7.82088,7.82088,8.10858,0.964023,1.03427,1,1
1645491017,7.88308,7.88308,8.17334,1.035,1.11042,1,1
1645991019,7.8504,7.8504,8.13855,1.1345,1.21707,1,1
1646491032,7.90334,7.90334,8.19302,1.03874,1.11429,1,1
1646591018,7.91874,7.91874,8.20916,0.99651,1.06895,1,1
1646891018,7.8965,7.8965,8.18596,0.843719,0.905063,1,1
1647391018,7.85001,7.85001,8.13794,0.583658,0.626094,1,1
1647491017,7.76182,7.76182,8.04645,0.530131,0.568657,1,1
1647891016,7.89928,7.89928,8.18891,0.327004,0.350768,1,1
1648291709,7.67265,7.67265,7.95374,0.140987,0.151232,1,1
1648791118,7.7471,7.7471,8.03113,0.0710184,0.0761786,1,1
1648891406,7.9263,7.9263,8.21691,0.106955,0.114727,1,1
1649291044,7.9593,7.9593,8.25119,0.242092,0.259683,1,1
1649691021,7.84232,7.84232,8.12989,0.35701,0.382944,1,1
1650191028,7.97902,7.97902,8.27153,0.473391,0.507777,1,1
1650291019,8.02683,8.02683,8.32117,0.493021,0.528841,1,1
1650591039,7.76576,7.76576,8.05049,0.542685,0.582103,1,1
1651091016,8.03157,8.03157,8.3258,0.606234,0.650265,1,1
1651191017,8.03152,8.03152,8.32601,0.615212,0.659892,1,1
1651591017,7.94307,7.94307,8.234,0.64818,0.695241,1,1
1651691018,7.88982,7.88982,8.17928,0.654153,0.701666,1,1
1651991044,7.95461,7.95461,8.24595,0.663303,0.711459,1,1
1652491020,7.76543,7.76543,8.05031,0.666218,0.714588,1,1
1652591020,7.88806,7.88806,8.1774,0.663091,0.711238,1,1
1652891017,7.91966,7.91966,8.20984,0.653816,0.701284,1,1
1653391021,7.8655,7.8655,8.15374,0.630054,0.675787,1,1
1653491038,7.87363,7.87363,8.16245,0.624222,0.669537,1,1
1653791020,7.95423,7.95423,8.24612,0.599629,0.643158,1,1
1654291018,7.6681,7.6681,7.9491,0.555518,0.595831,1,1
1654391032,7.68914,7.68914,7.97142,0.544092,0.583575,1,1
1654691209,7.67732,7.67732,7.95856,0.514954,0.552317,1,1
1655191271,7.70863,7.70863,7.99174,0.462973,0.496564,1,1
1655291298,7.66588,7.66588,7.94737,0.451543,0.484304,1,1
1655691340,7.87086,7.87086,8.15962,0.403662,0.432942,1,1
1656091019,7.70353,7.70353,7.98576,0.358514,0.384517,1,1
1656191021,7.75851,7.75851,8.043,0.347355,0.372547,1,1
1656591019,7.92998,7.92998,8.22096,0.298911,0.320589,1,1
1656691019,7.91837,7.91837,8.20902,0.286284,0.307041,1,1
1657091052,7.80903,7.80903,8.09512,0.239103,0.256441,1,1
1657591018,7.73578,7.73578,8.01922,0.179247,0.192239,1,1
1657691055,7.73692,7.73692,8.02057,0.166681,0.178764,1,1
1658091037,7.75012,7.75012,8.03401,0.120368,0.129093,1,1
1658491018,7.899,7.899,8.18826,0.075849,0.0813452,1,1
1658591020,7.83791,7.83791,8.12541,0.066085,0.0708751,1,1
1658891021,7.93778,7.93778,8.22875,0.0342396,0.0367213,1,1
1659391024,7.83347,7.83347,8.12074,0.0384924,0.0412813,1,1
1659891019,7.72215,7.72215,8.00541,0.0896872,0.0961857,1,1
1659991019,7.69746,7.69746,7.97979,0.0991726,0.106359,1,1
1660291049,7.75611,7.75611,8.04057,0.129338,0.13871,1,1
1660791076,7.82128,7.82128,8.10829,0.17895,0.191916,1,1
1660891016,7.87102,7.87102,8.15969,0.190147,0.203923,1,1
1661191021,7.92093,7.92093,8.21174,0.218708,0.23455,1,1
1661691519,7.97899,7.97899,8.27173,0.260823,0.279714,1,1
1661791517,8.04222,8.04222,8.33694,0.271763,0.291446,1,1
1662191087,7.92846,7.92846,8.2192,0.303444,0.325419,1,1
1662591023,7.90424,7.90424,8.19545,0.333497,0.357646,1,1
1663091028,7.78776,7.78776,8.07345,0.36466,0.391059,1,1
1663191018,7.80024,7.80024,8.0876,0.370292,0.397095,1,1
